success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,condition,rt,stimulus,response,task,correct_response,attempts,correct,value,task_condition,scene,scene_type,scene_index,scene_sp,scene_col,timed_out
,,,,,html-keyboard-response,495,575944,0.0-6.0-0.88,5f61578829b2480f4a57565a,624b9d4c726ccd3574dc2d19,624f1402d016d6cb630bb8ff,j,655.0,"
            <div style=""font-size:30px;"">
                <p>In the next scene: Will the ball reach the goal?</p>
                <p> F: no, J: yes</p>
                <p>(Press spacebar to begin)</p>
            </div>
            ", ,prompt,,,,,,,,,,,
,,,,,html-keyboard-response,496,576953,0.0-6.0-1.88,5f61578829b2480f4a57565a,624b9d4c726ccd3574dc2d19,624f1402d016d6cb630bb8ff,j,,"<div style=""font-size:60px;"">+</div>",,fixation,,,,,,,,,,,
,,,,,call-function,497,576954,0.0-6.0-2.88,5f61578829b2480f4a57565a,624b9d4c726ccd3574dc2d19,624f1402d016d6cb630bb8ff,j,,,,,,,,,,,,,,,
,,,,,video-keyboard-response,498,578847,0.0-6.0-3.88,5f61578829b2480f4a57565a,624b9d4c726ccd3574dc2d19,624f1402d016d6cb630bb8ff,j,1891.0,"[""img/stimuli/trial/stim_2_goalpos_4.mp4""]",f,response,j,,False,,yes,stim_2_goalpos_4.mp4,stim_2_goalpos_4,4.0,,yes,False
,,,,,html-keyboard-response,499,580357,0.0-6.0-4.88,5f61578829b2480f4a57565a,624b9d4c726ccd3574dc2d19,624f1402d016d6cb630bb8ff,j,,"
            <div style=""font-size:30px;"">
                <p>Your response has been logged.</p>
            </div>
            ",,prompt,,,,,,,,,,,
,,,,,html-keyboard-response,500,581055,0.0-6.0-0.89,5f61578829b2480f4a57565a,624b9d4c726ccd3574dc2d19,624f1402d016d6cb630bb8ff,j,697.0,"
            <div style=""font-size:30px;"">
                <p>In the next scene: Will the ball reach the goal?</p>
                <p> F: no, J: yes</p>
                <p>(Press spacebar to begin)</p>
            </div>
            ", ,prompt,,,,,,,,,,,
,,,,,html-keyboard-response,501,581806,0.0-6.0-1.89,5f61578829b2480f4a57565a,624b9d4c726ccd3574dc2d19,624f1402d016d6cb630bb8ff,j,,"<div style=""font-size:60px;"">+</div>",,fixation,,,,,,,,,,,
,,,,,call-function,502,581807,0.0-6.0-2.89,5f61578829b2480f4a57565a,624b9d4c726ccd3574dc2d19,624f1402d016d6cb630bb8ff,j,,,,,,,,,,,,,,,
,,,,,video-keyboard-response,503,583088,0.0-6.0-3.89,5f61578829b2480f4a57565a,624b9d4c726ccd3574dc2d19,624f1402d016d6cb630bb8ff,j,1280.0,"[""img/stimuli/trial/stim_6_goalpos_13_negative.mp4""]",f,response,f,,True,,no,stim_6_goalpos_13_negative.mp4,stim_6_goalpos_13_negative,13.0,,no,False
,,,,,html-keyboard-response,504,584604,0.0-6.0-4.89,5f61578829b2480f4a57565a,624b9d4c726ccd3574dc2d19,624f1402d016d6cb630bb8ff,j,,"
            <div style=""font-size:30px;"">
                <p>Your response has been logged.</p>
            </div>
            ",,prompt,,,,,,,,,,,
True,False,[],[],[],preload,0,1910,0.0-0.0,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,1,9627,0.0-1.0,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,7716.0,Welcome to the experiment. Press spacebar to begin., ,,,,,,,,,,,,
,,,,,html-button-response,2,28194,0.0-2.0-0.0,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,18565.0,"
                <div style=""width:800px; text-align: left;"">
                <p>
                    <strong>LABORATORY FOR COMPUTATION COGNITION & DEVELOPMENT</strong>
                    <br>
                    Department of Psychology
                    <br>
                    Harvard University
                </p>
                <p>
                    Dear Participants,
                </p>
                <p>
                    Thank you for your interest! In this study, you will:
                </p>
                <p>
                    <strong>
                        You will be shown 90 simple scenes containing different objects. Before viewing each scene, you will be asked a question about the scene
                        and tasked with answering that question as fast as possible when you see the scene.
                    </strong>
                </p>
                <p>
                    You are being asked to participate in a project being conducted by a research team at Harvard University, under the direction of Dr. Tomer Ullman. 
                    We are interested in how people are able to reason quickly and in a commonsense way about the different objects and people they encounter in the world around them. 
                    A better understanding of commonsense reasoning has implications for building more intelligent machines that can reason in a more human-like way, lowering risk in 
                    different physical situations. During this study, you will be presented with textual descriptions of scenes. To assess your resulting mental image, you will be asked 
                    questions and you will respond by selecting an appropriate response. 
                </p>
                <p>
                    The study will last around 25 minutes. Your participation in this study is completely voluntary. You may refuse to participate, or you may choose to 
                    withdraw from participation at any time, without penalty or loss of benefit to which you are otherwise entitled. There has been no harm to people involved 
                    in this study and there are no risks associated with participation.
                </p>
                <p>
                    All information collected from the study will be associated with a randomly generated Prolific code number or Prolific ID, which 
                    is the only identifying data you will be requested to provide. Unless your profile is set to private, MTurk ID’s can be used to link back to user account. 
                    We suggest you set your profile to private. This ID will be changed to Study IDs upon payment. Only researchers associated with this project will have access 
                    to the data. In order to make a research transparent to the scientific and broader community our study design and unidentifiable data might be made publicly 
                    available on Open Science Framework, a network of research materials and collaboration software, but your data will not be in anyway identifiable.
                </p>
                <p>
                    We will also provide you with a demographic questionnaire. The form does not include any personal identifying information other than your Prolific ID. Your 
                    contribution to this questionnaire is voluntary; if you choose to provide the requested information, your responses will be confidential. You will be reimbursed 
                    at a rate of [$10/hr] for your participation. You might be requested to provide you Mechanical Turk ID for reimbursement purposes, but these numbers will be deleted 
                    immediately after reimbursement. 
                </p>
                <p>
                    Your participation in our study would be greatly appreciated. If you have any questions about the project please feel free to contact us at the Lab for 
                    Computation, Cognition, and Development at the Department of Psychology, 33 Kirkland Street, Cambridge, MA 02138, or via email at cocodev@fas.harvard.edu. 
                    You may also contact the faculty member supervising this work: Tomer Ullman, Assistant Professor of Psychology, 1320 William James Hall, 33 Kirkland Street, 
                    Cambridge, MA, 02138, email: tullman@fas.harvard.edu
                </p>
                <p>
                    Whom to contact about your rights in this research, for questions, concerns, suggestions, or complaints that are not being addressed by the researcher, 
                    or research-related harm: Committee on the Use of Human Subjects in Research at Harvard University. Phone:  617-496-CUHS (2847).  Email: cuhs@harvard.edu. 
                    Please print this screen for your records.
                </p>
                <p>
                    <strong>Consent Statement</strong>
                </p>
                <p>
                    If you agree to participate, please click the consent button below. Thank you very much for your time and consideration.
                </p>
                <p>
                    By selecting the <strong>Consent</strong> button below, I acknowledge that I am 18 or older, have read this consent form, and I agree to take part in the Commonsense Reasoning 
                    about Physics and Psychology project conducted by the research lab of Dr. Tomer Ullman.
                </p>
                <p>
                    If you do NOT agree to participate in this study, please click the <strong>Decline</strong> button below.
                </p>
                <div>
                ",0,consent,,,,,,,,,,,
,,,,,html-keyboard-response,3,202607,0.0-3.0-0.0,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,174411.0,"
                <div style='width:800px;'>
                <p>
                    In this experiment, you will see 90 short clips of scenes like the one below. 
                </p>
                <div>
                    <img src='img/stimuli/instruction/scene_cp_2_arrow.jpg' style='width: 200px;'></img>
                </div>
                <p>
                    In each clip, there will be a <strong>BALL</strong>, a <strong>GOAL</strong>, and multiple <strong>SLIDES</strong>.
                </p>
                <p>
                    The <strong>BALL</strong> will always be a circle. 
                </p>
                <p>
                    The <strong>GOAL</strong> will always be a square. 
                </p>
                <p>
                    The <strong>SLIDES</strong> and <strong>GOAL</strong> might change location and size from clip to clip.
                </p>
                <p>
                    The <strong>BALL</strong> and <strong>GOAL</strong> may change colors from clip to clip.
                </p>
                <p>
                    In each clip, the <strong>BALL</strong> will turn invisible, but you are to assume it’s still in the scene.
                </p>
                <p>
                    <strong><u>YOUR TASK:</u></strong>
                </p>
                <p>
                    1. Judge whether the <strong>BALL</strong> will ever reach the <strong>GOAL</strong>.
                </p>
                <p>
                    Press spacebar for further instructions.
                </p>
                </div>
                ", ,,,,,,,,,,,,
,,,,,html-keyboard-response,4,224264,0.0-3.0-0.1,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,21655.0,"
                <div style='width:800px;'>
                <p>
                    If the Ball <strong>will reach the Goal</strong>: press the letter j on your keyboard.
                </p>
                <p>
                    If the Ball <strong>won't reach the Goal</strong>: press the letter f on your keyboard.
                </p>
                <p>
                    Each clip will only be available for 5 seconds.
                </p>
                <p>
                    <strong>Please answer as fast and as accurately as possible!</strong>
                </p>
                <p>
                    <strong>You do not have to wait for the clip to finish to answer!</strong>
                </p>
                <img src='img/keyboard_j.jpeg'></img>
                <p>
                    Press spacebar to continue.
                </p>
                </div>
                ", ,,,,,,,,,,,,
,,,,,html-keyboard-response,5,247011,0.0-3.0-0.2,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,22745.0,"
                <div style='width:800px;'>
                <p>
                    We are almost ready for the study. 
                    Before we start, we have a few comprehension questions, 
                    to make sure you understand the task.
                </p>
                <p>
                    You will see a few clips and be asked to determine wheter the Ball will reach the Goal
                    in each clip.
                </p>
                <p> 
                    The first few clips will be full clips of a Ball falling in a scene.
                </p>
                <p> 
                    After the first few clips, the Ball will begin to disappear after the first few frames 
                    of each clip, just like it will in the experiment.
                </p>
                <p>
                    Press spacebar to begin.
                </p>
                </div>
                ", ,,,,,,,,,,,,
,,,,,html-keyboard-response,6,260417,0.0-4.0-0.0,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,13407.0,"
                <div style=""font-size:30px;"">
                    <p>
                        Check 1: In the next page you will see a clip.
                    </p>
                    <p> 
                        Please use your keyboard to answer: <strong>Will the Ball 
                        reach the goal?</strong>
                    </p>
                    <p>
                        Remember F means no and J means yes.
                    </p>
                    <p>(Press spacebar to begin)</p>
                </div>
                ", ,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,7,261422,0.0-4.0-1.0,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"<div style=""font-size:60px;"">+</div>",,fixation,,,,,,,,,,,
,,,,,video-keyboard-response,8,263321,0.0-4.0-2.0,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"[""img/stimuli/comprehension/comp_0.mp4""]",,comprehension,j,1.0,False,,,,,,,,
,,,,,html-keyboard-response,9,264838,0.0-4.0-3.0,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"
            <div style=""font-size:30px;"">
                <p>Your response has been logged.</p>
            </div>
            ",,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,10,275503,0.0-4.0-0.1,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,10663.0,"
                <div style=""font-size:30px;"">
                    <p>
                        Check 2: In the next page you will see a clip.
                    </p>
                    <p> 
                        Please use your keyboard to answer: <strong>Will the Ball 
                        reach the goal?</strong>
                    </p>
                    <p>
                        Remember F means no and J means yes.
                    </p>
                    <p>(Press spacebar to begin)</p>
                </div>
                ", ,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,11,276012,0.0-4.0-1.1,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"<div style=""font-size:60px;"">+</div>",,fixation,,,,,,,,,,,
,,,,,video-keyboard-response,12,279723,0.0-4.0-2.1,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,3075.0,"[""img/stimuli/comprehension/comp_1.mp4""]",j,comprehension,j,1.0,True,,,,,,,,
,,,,,html-keyboard-response,13,281239,0.0-4.0-3.1,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"
            <div style=""font-size:30px;"">
                <p>Your response has been logged.</p>
            </div>
            ",,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,14,285059,0.0-4.0-0.2,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,3819.0,"
                <div style=""font-size:30px;"">
                    <p>
                        Check 3: In the next page you will see a clip.
                    </p>
                    <p> 
                        Please use your keyboard to answer: <strong>Will the 
                        Ball reach the goal?</strong>
                    </p>
                    <p>
                        Remember F means no and J means yes.
                    </p>
                    <p>(Press spacebar to begin)</p>
                </div>
                ", ,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,15,286060,0.0-4.0-1.2,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"<div style=""font-size:60px;"">+</div>",,fixation,,,,,,,,,,,
,,,,,video-keyboard-response,16,289748,0.0-4.0-2.2,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,2531.0,"[""img/stimuli/comprehension/comp_2.mp4""]",f,comprehension,f,1.0,True,,,,,,,,
,,,,,html-keyboard-response,17,291254,0.0-4.0-3.2,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"
            <div style=""font-size:30px;"">
                <p>Your response has been logged.</p>
            </div>
            ",,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,18,292477,0.0-4.0-0.3,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,1222.0,"
                <div style=""font-size:30px;"">
                    <p>
                        Check 4: In the next page you will see a clip.
                    </p>
                    <p> 
                        Please use your keyboard to answer: <strong>Will the 
                        Ball reach the goal?</strong>
                    </p>
                    <p>
                        Remember F means no and J means yes.
                    </p>
                    <p>(Press spacebar to begin)</p>
                </div>
                ", ,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,19,292730,0.0-4.0-1.3,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"<div style=""font-size:60px;"">+</div>",,fixation,,,,,,,,,,,
,,,,,video-keyboard-response,20,294859,0.0-4.0-2.3,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,1610.0,"[""img/stimuli/comprehension/comp_3.mp4""]",j,comprehension,j,1.0,True,,,,,,,,
,,,,,html-keyboard-response,21,296372,0.0-4.0-3.3,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"
            <div style=""font-size:30px;"">
                <p>Your response has been logged.</p>
            </div>
            ",,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,22,296976,0.0-4.0-0.4,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,603.0,"
                <div style=""font-size:30px;"">
                    <p>
                        Check 5: In the next page you will see a clip.
                    </p>
                    <p> 
                        Please use your keyboard to answer: <strong>Will the 
                        Ball reach the goal?</strong>
                    </p>
                    <p>
                        Remember F means no and J means yes.
                    </p>
                    <p>(Press spacebar to begin)</p>
                </div>
                ", ,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,23,297486,0.0-4.0-1.4,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"<div style=""font-size:60px;"">+</div>",,fixation,,,,,,,,,,,
,,,,,video-keyboard-response,24,300705,0.0-4.0-2.4,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,2181.0,"[""img/stimuli/comprehension/comp_4.mp4""]",f,comprehension,f,1.0,True,,,,,,,,
,,,,,html-keyboard-response,25,302212,0.0-4.0-3.4,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"
            <div style=""font-size:30px;"">
                <p>Your response has been logged.</p>
            </div>
            ",,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,26,302838,0.0-4.0-0.5,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,626.0,"
                <div style=""font-size:30px;"">
                    <p>
                        Check 6: In the next page you will see a clip.
                    </p>
                    <p> 
                        Please use your keyboard to answer: <strong>Will the 
                        Ball reach the goal?</strong>
                    </p>
                    <p>
                        Remember F means no and J means yes.
                    </p>
                    <p>(Press spacebar to begin)</p>
                </div>
                ", ,comp_prompt,,,,,,,,,,,
,,,,,html-keyboard-response,27,303604,0.0-4.0-1.5,615a024f8c4408c9a74ba39a,624b9d4c726ccd3574dc2d19,624f13ff7326a47fac3b2412,j,,"<div style=""font-size:60px;"">+</div>",,fixation,,,,,,,,,,,
